delivery_person_id,first_name,last_name,phone,age,ratings,vehicle_type,vehicle_condition,status,current_latitude,current_longitude,total_deliveries,city
D00001,Banjeet,Prasad,+916425856261,43,4.86,electric_scooter,1,On Delivery,12.947339,77.557837,346,Bengaluru
D00002,Isaac,Bala,+910382407333,27,4.64,motorcycle,0,Available,13.010178,77.553701,1225,Bengaluru
D00003,Nathaniel,Chaudhary,+918893628969,32,3.67,scooter,2,On Delivery,12.977684,77.711701,1500,Bengaluru
D00004,Oliver,Dhingra,+913585125389,24,4.26,motorcycle,2,On Delivery,12.922953,77.669981,2202,Bengaluru
D00005,Ekapad,Barad,+918374907977,38,4.26,motorcycle,0,Available,12.974392,77.569052,1846,Bengaluru
D00006,Luke,Sodhi,+917215149409,35,4.66,motorcycle,0,Offline,12.966911,77.654534,891,Bengaluru
D00007,Ekaraj,Singh,+919862895090,42,4.0,scooter,2,Available,13.003084,77.696036,300,Bengaluru
D00008,Udarsh,Ahluwalia,+912339220715,22,3.8,motorcycle,1,On Delivery,12.958145,77.616248,2817,Bengaluru
D00009,Balveer,Bahl,+912145264712,28,3.24,motorcycle,0,Available,12.954797,77.570052,2661,Bengaluru
D00010,Kabir,Kale,+911840908051,25,4.36,motorcycle,2,Available,12.941363,77.710969,1348,Bengaluru
D00011,Falan,Wable,+911239728351,41,3.76,electric_scooter,2,Available,12.934851,77.586802,734,Bengaluru
D00012,Siddharth,Choudhry,+912827090814,29,4.0,motorcycle,2,Available,13.044055,77.612187,2133,Bengaluru
D00013,Maanas,Khanna,+915786718153,31,2.83,motorcycle,1,Available,12.923809,77.583106,1665,Bengaluru
D00014,Matthew,Dara,+917918158998,36,3.16,motorcycle,2,On Delivery,12.972733,77.657464,1167,Bengaluru
D00015,Arjun,Khare,+916661707158,35,4.01,scooter,1,On Delivery,12.975619,77.566541,3230,Bengaluru
D00016,Shaurya,Shankar,+910803149982,40,4.88,motorcycle,0,On Delivery,12.962788,77.512362,203,Bengaluru
D00017,Azad,Choudhry,+916882850317,25,3.29,electric_scooter,2,Available,12.835296,77.671071,2934,Bengaluru
D00018,Zaid,Wason,+919006314035,25,3.98,bicycle,0,Available,12.916411,77.612946,3441,Bengaluru
D00019,Abhiram,Varma,+916943460666,28,4.22,electric_scooter,0,On Delivery,12.92439,77.560467,2009,Bengaluru
D00020,Jai,Dhawan,+916072311127,22,4.94,motorcycle,1,Available,12.929705,77.680461,3041,Bengaluru
D00021,Madhav,Sanghvi,+914494116318,35,4.06,motorcycle,2,Offline,12.943913,77.684001,1930,Bengaluru
D00022,Aadi,Pandit,+916211369572,34,3.81,scooter,0,On Delivery,12.909974,77.535946,2072,Bengaluru
D00023,Jai,Saha,+910254257306,32,4.18,motorcycle,1,On Delivery,12.99028,77.515742,932,Bengaluru
D00024,Girik,Chada,+917071398482,24,4.05,motorcycle,1,Available,12.912889,77.576636,2814,Bengaluru
D00025,Pranit,Bir,+915502130609,21,3.98,electric_scooter,2,Available,12.907997,77.640271,929,Bengaluru
D00026,Zehaan,Tripathi,+911079649673,41,3.99,motorcycle,1,Available,12.976431,77.507546,2617,Bengaluru
D00027,Advaith,Ramakrishnan,+913242642506,45,3.21,motorcycle,0,On Delivery,13.034965,77.612943,2920,Bengaluru
